编号,品牌A,品牌B或合作方,年份与关键节点,主要市场,合作类型,最终产物,公开结果（事实）,结果分类,证据性质,结果观测窗口,可借鉴机制或失败解释（分析）,风险与不可直接照搬之处（分析）,仍缺少的证据,重点调研维度,来源1,来源2,核验日期
C46,喜茶,景德镇中国陶瓷博物馆,2023年11—12月,中国,品牌×博物馆,“佛喜”饮品、宗教人物相关杯身及周边,媒体报道当地宗教事务部门约谈；联名随后下架，馆方表示合作结束。,风险与混合结果,B｜可靠媒体/行业机构报道,2023年12月,馆藏合作与具体商业表达仍需分别审查；文化图像的语境不可忽略。,不能把媒体报道的约谈写成已认定违法或已受罚。,完整授权和主管机关书面结论、损失数额,文化语境；敏感性；审批,https://m.bjnews.com.cn/detail/1701741875169857.html,https://news.cnstock.com/news%2Cbwkx-202312-5159360.htm,2026-09-05
C47,乐乐茶,译林出版社,2024活动；2026法院认定后的致歉,中国,品牌×出版机构／文化人物,“烟腔乌龙”、鲁迅画像杯袋、立牌与小册子,2024撤文宣并致歉；2026声明确认法院认定相关画像使用侵害著作权权益。,风险与混合结果,B｜可靠媒体/行业机构报道,2024及2026年3月13日,出版合作不自动覆盖肖像画作者的著作权；应逐个资产核对授权链。,2024家属争议与2026图像著作权案件是不同层次，不能混成一种权利。,所有素材的许可范围及费用、判决完整文本、项目损失,权利拆分；素材来源；文化尊重,https://m.gmw.cn/2026-03/13/content_1304375087.htm,https://www.jfdaily.com/wx/detail.do?id=744161,2026-09-05
C48,Gucci,adidas,2022,中国讨论／多市场产品,品牌×品牌／奢侈时尚,联名装饰性伞具及服饰系列,伞具明示不防水引发讨论；未找到证明整个联名商业失败的数据。,风险与混合结果,B｜可靠媒体/行业机构报道,2022伞具争议,商品名称引发的功能期待可能与设计定位冲突，要测试消费者如何理解。,不能把已说明的装饰定位直接称为质量缺陷，也不能把嘲讽当作销量失败。,实际退货、投诉结构、销量与品牌态度变化,功能承诺；沟通；价格预期,https://www.businessinsider.com/adidas-and-gucci-selling-1600-umbrella-that-is-not-waterproof-2022-5,https://www.ndtv.com/world-news/a-1-644-gucci-adidas-umbrella-that-does-not-stop-rain-2989361,2026-09-05
C49,McDonald’s,BTS,2021,多市场；印尼履约事件,品牌×音乐IP,BTS Meal套餐、两款酱料与主题包装,印尼部分门店因拥挤暂时关闭；合作同时带来明显需求，并非整体销售失败。,风险与混合结果,B｜可靠媒体/行业机构报道,2021年6月,情感动员可能集中到短时间、少数门店；需限流、预约与取餐分流。,公司总销售增长还有解封等因素，不能全归因于BTS套餐。,联名净增量、履约成本、拥堵造成的损失,粉丝峰值；门店容量；归因,https://www.reuters.com/business/mcdonalds-shuts-some-indonesia-outlets-over-bts-meal-frenzy-2021-06-11/,https://www.reuters.com/business/retail-consumer/mcdonalds-sales-surge-bts-meal-craze-easing-restrictions-2021-07-28/,2026-09-05
C50,奈雪的茶,薄盒「范特西音乐宇宙」,2023,中国,品牌×数字音乐IP项目,主题茶饮、杯袋及范特西相关数字互动,公开报道明确合作对象为薄盒旗下项目；传播中出现是否为周杰伦本人合作的理解争议。,风险与混合结果,B｜可靠媒体/行业机构报道,2023年9月,合法授权对象、宣传名称和消费者理解需要相互一致。,不能把该合作直接写成周杰伦本人代言，也不能凭争议判定未经授权。,完整授权范围、实际理解偏差、后续留存与利润,授权边界；身份暗示；传播,https://www.stcn.com/article/detail/979671.html,https://www.jiemian.com/article/10114918.html,2026-09-05
C51,McDonald’s,Mr Doodle,2024,中国,品牌×艺术家,儿童节涂鸦主题包装、主题餐厅和快闪体验,麦当劳中国官方发布艺术家合作；同档期其他玩具活动不应全部算入本联名。,产品机制参考,A｜品牌/企业原始披露,2024儿童节活动,用统一图形系统覆盖包装、空间与线下体验，形成完整活动识别。,分清同一营销档期内不同项目的销售贡献，避免张冠李戴。,艺术合作独立预算、触达、转化与顾客反馈,视觉系统；空间；归因边界,https://www.mcdonalds.com.cn/news/20240522-Childrens-Day,,2026-09-05
C52,UNIQLO,卢浮宫博物馆,2021起,多市场,品牌×博物馆,Louvre Museum Collection UT及文化活动合作,迅销官方确认2021年春起推出相关UT系列并支持馆内文化活动。,产品机制参考,A｜品牌/企业原始披露,2021起官方项目描述,把馆藏内容变成日常可穿戴载体，也提供文化公共活动触点。,艺术图像受欢迎不等于衣服复购；作品授权和形象审核需明确。,各系列净销量、文化触达质量、授权成本,馆藏资产；大众化；权利,https://www.fastretailing.com/eng/sustainability/community/sports_and_culture.html,,2026-09-05
C53,Nike,Tiffany & Co.,2023,多市场,品牌×品牌／奢侈与运动,Air Force 1 1837、银饰细节及相关纯银配件,Tiffany与Nike官方可确认产品；独立销量与利润未公开。,产品机制参考,A｜品牌/企业原始披露,2023系列,把Tiffany蓝与银器工艺融入熟悉鞋型，研究的是资产转译。,审美争论不能直接判定商业失败；应分核心鞋迷与珠宝客群。,原价售出量、新客迁移、偏好与利润,标志资产；材质；圈层,https://www.tiffany.com/world-of-tiffany/collaborations/tiffany-nike-air-force.html,https://www.nike.com/launch/t/air-force-1-tiffany-and-co-black,2026-09-05
C54,PUMA,FENTY,2015起；2023重启阶段,多市场,品牌×明星主理品牌,Creeper等鞋履；2023重启Avanti产品,PUMA官方2023发布重新合作及Avanti；不据此断言2026仍持续或长期盈利。,产品机制参考,A｜品牌/企业原始披露,2023重启已确认阶段,主理人参与产品设计，可以形成独立产品语言，而不只是代言曝光。,第一次热度不能保证重启成功；须重新验证客群与市场环境。,重启实际销量、全周期财务、2026关系状态的官方确认,创意贡献；生命周期；重启验证,https://about.puma.com/en/newsroom/news/fenty-x-puma-officially-back-rihanna-launches-avanti,https://uk.puma.com/uk/en/collections/select-collaborations/fenty-x-puma,2026-09-05
C55,Supreme,OREO,2020,部分市场,品牌×品牌／包装与食品,红色、印Supreme标识的OREO三枚装,Supreme官方春夏2020档案可确认产品；不采用二手高价挂牌作为销量证据。,产品机制参考,A｜品牌/企业原始披露,2020产品档案,以低客单食品承载街头品牌收藏符号，扩大可参与人群。,可拍照不等于可复购；二手挂牌价不等于真实成交价。,初次零售数量、实际成交、增量消费者、项目利润,价格入口；符号消费；数据口径,https://supreme.com/previews/springsummer2020/accessories/supreme-oreo-cookies-pack-of-3,https://www.foodandwine.com/news/supreme-oreo-collaboration,2026-09-05
C56,H&M,Mugler,2023,多市场,品牌×品牌／设计师系列,Mugler H&M成衣与配饰胶囊系列,H&M官方2024回顾确认2023年Mugler合作；本库不推断独立盈利。,产品机制参考,A｜品牌/企业原始披露,2023系列；2024回顾,高识别设计语言可跨价格带转译，但需要验证实穿、尺码和品质。,前代H&M联名成功不能作为本期的销售证据。,本期售出率、退货率、设计与制造成本,设计转译；尺码；品质,https://hmgroup.com/news/hm-celebrates-20-years-of-designer-collaborations-with-limited-pre-loved-pieces/,https://www.hm.com/az/mugler-hm-announcement/,2026-09-05
C57,Target,Missoni,2011,美国,品牌×品牌／大众设计系列,Missoni图案服装、家居、配件等约400款,AP报道首发网站崩溃，之后部分订单延误或被取消；商品需求强。,风险与混合结果,B｜可靠媒体/行业机构报道,2011年9月,强需求与差履约可同时发生；广告、库存与订单系统要一起准备。,不是销售失败；也不能用售罄掩盖真实消费者未收到商品。,支付成功到交付率、补偿成本、客户流失,峰值压力；库存一致性；交付,https://www.mprnews.org/story/2011/09/22/target-missoni-problems,https://tcbmag.com/some-target-com-missoni-orders-cancelled-delayed/,2026-09-05
C58,KFC,《原神》,2021,中国；上海与杭州事件,品牌×游戏IP,主题套餐、角色徽章与游戏相关权益,上海、杭州部分线下活动因人群聚集等原因取消；并非全国合作全部失败。,风险与混合结果,B｜可靠媒体/行业机构报道,2021年3月活动,收藏赠品会使需求集中到门店与时点，赠品供应就是核心履约的一部分。,当时防疫条件特殊，不能直接拿聚集事件推断现在应执行的法规。,各店库存、活动申报与取消损失、预约可替代性,赠品库存；峰值；线下安全,https://www.playstationlifestyle.net/2021/03/15/genshin-impact-kfc-collaboration-cancelled/,https://www.globaltimes.cn/page/202103/1218334.shtml,2026-09-05
C59,HTC／AT&T,Facebook,2013,美国；欧洲计划,技术与渠道联合产品,预装Facebook Home的HTC First手机,美国合约价上市不足一月由约99美元降至0.99美元；英国上市随后未按计划推进。,风险与混合结果,B｜可靠媒体/行业机构报道,2013年4—5月,喜欢一个应用不等于愿意让它成为整部手机的主界面；合作不能代替需求验证。,合约机价格不等于裸机价格；不能仅凭降价确定亏损额。,独立损益、激活与留存、拒购和退货原因,用户任务；体验控制；试点,https://allthingsd.com/20130508/htc-first-that-facebook-phone-drops-from-99-bucks-to-99-cents-at-att/,https://www.latimes.com/business/technology/la-fi-tn-facebook-delays-htc-first-facebook-phone-20130524-story.html,2026-09-05
C60,Apple,U2,2014,多市场,品牌×音乐IP／数字分发,iTunes赠送《Songs of Innocence》专辑,专辑自动加入用户曲库引发反感；Apple随后提供移除工具。,风险与混合结果,B｜可靠媒体/行业机构报道,2014年9—10月,免费权益也需尊重选择；平台可触达用户，不代表用户都需要合作内容。,应区分自动加入曲库与所有设备一律自动下载；不能推断专辑质量失败。,接受率、移除率、品牌态度和长期订阅影响,用户同意；体验边界；客群,https://pitchfork.com/news/56713-apple-launches-site-to-help-you-remove-the-u2-album-from-your-itunes,https://time.com/3508636/bono-apologizes-sorry-itunes-apple-u2-songs-of-innocence/,2026-09-05
